name,address,city,state,zip,capacity,lng,lat
Children First Inc,77 S High Street,Columbus,OH,43215,137,-83.00045846,39.96062566
Columbus Early Learning Center - Eastside*,240 N. Champion Ave,Columbus,OH,43203,56,-82.9681672,39.97150396
David's Preschool and Extended Care at UCC*,80 West Columbus Street,Canal Winchester,OH,43110,88,-82.8083239,39.84164997
Stepping Stones Learning Center*,860 Griswold St,Worthington,OH,43085,140,-83.0048184,40.09044558
Northland Church of Christ Child Care*,4581 Cleveland Ave.,Columbus,OH,43231,67,-82.95286318,40.06256
St. Joseph Montessori School,933 Hamlet Street,Columbus,OH,43201,300,-83.00000377,39.98267885
Washington Square Day Care Center (Creative Child Care)*,2525 Petzinger Rd,Columbus,OH,43209,106,-82.92551264,39.92962185
Meadow Park Children's Center*,2425 Bethel Road,Columbus,OH,43220,202,-83.08448983,40.06454616
Cypress Christian Preschool & Daycare,377 Alton Darby Creek Rd.,Galloway,OH,43119,202,-83.16714169,39.95816741
Kare-A-Lot Child Care Center*,1030 King Avenue,Columbus,OH,43212,100,-83.03404623,39.99126894
Mother's Helper and Childcare Services II*,712 East Spring Street,Columbus,OH,43203,93,-82.98233925,39.96882108
Grace Early Childhood Center*,8225 Worthington-Galena Road,Westerville,OH,43081,208,-82.97325041,40.13312915
Genessee Avenue Learning Center*,1889 Genessee Ave.,Columbus,OH,43211,78,-82.96099527,40.01879513
Merry Moppet Early Learning Center*,5075 Britton Road,Hilliard,OH,43026,261,-83.13548059,40.05517163
Creative Child Care - North*,1601 Shanley Dr,Columbus,OH,43224,131,-82.97610298,40.05540043
Gingerbread House Preschool & Nursery*,67 West 4th Ave,Columbus,OH,43201,52,-83.00637372,39.9852412
"National Child Care Center, LLC*",4400 Westerville Rd,Columbus,OH,43211,76,-82.9353906,40.06152666
Puddies Playhouse Learning Center*,1450 East Main St,Columbus,OH,43205,44,-82.96034946,39.95776411
Bright Starz,6834 Refugee Road,Canal Winchester,OH,43110,47,-82.81734212,39.91139875
Helping Hands Center for Special Needs*,2500 Medary Ave,Columbus,OH,43202,168,-83.00495536,40.01433976
"Stepping Stones Daycare Center, LLC*",876 Freeway Dr North,Columbus,OH,43229,82,-82.99513202,40.0701148
Goddard School,4160 Executive Parkway,Westerville,OH,43081,133,-82.90004765,40.08372483
Discovery Learning Center II*,3870 East Livingston Ave,Columbus,OH,43227,75,-82.89309401,39.94574912
"Giggles and Grins Childcare Center, Inc*",800 Jasonway Ave,Columbus,OH,43214,81,-83.04116479,40.0590769
"HSD Academy Learning Center II, Inc.*",1336 Courtright Road,Columbus,OH,43227,38,-82.89692508,39.94514515
YMCA Columbus Urban League Watkins ES Head Start,1520 Watkins Road,Columbus,OH,43027,20,-82.95462458,39.90477597
Vineyard Early Childhood Center*,6000 Cooper Rd,Westerville,OH,43081,104,-82.93485546,40.0934742
YWCA Family Center Safe & Sound*,900 Harvey Court,Columbus,OH,43219,94,-82.94898676,39.98691589
Buckeye Pre-K Solutions,1414 Gault St,Columbus,OH,43205,34,-82.96026498,39.95067703
"Connected Pathways Early Learning Center, LLC*",496 Havens Corners Rd,Gahanna,OH,43230,154,-82.86349506,40.0182255
One Family Child Care Center*,1375 Francisco Rd,Columbus,OH,43220,24,-83.05602602,40.05840195
Where we Teach and Care for Children LLC*,4152 1/2 West Broad St,Columbus,OH,43228,43,-83.11218962,39.95322455
Success Kidz West*,1288 Georgesville Road,Columbus,OH,43228,47,-83.11701989,39.92677617
New Albany Academy*,31 N High St,New Albany,OH,43054,32,-82.80877961,40.08340963
Fun Daycare Center LLC*,3434 Sullivant Ave,Columbus,OH,43204,81,-83.09053839,39.94295996
Next Generation Child Care*,1733 Brice Road,Reynoldsburg,OH,43068,39,-82.82981056,39.94425382
Learning and Fun Childcare*,2222 Eakin Road,Columbus,OH,43223,44,-83.05625756,39.93348732
Kiwi's Clubhouse,973 East Johnstown Road,Gahanna,OH,43230,69,-82.86206488,40.04251761
Infinite Learning Center*,4268 Eastland Square Dr,Columbus,OH,43232,104,-82.88278174,39.91346112
Creative Minds Learning Academy*,927 South James Road,Columbus,OH,43227,56,-82.91528434,39.95244441
Empire Learning Center*,422 Holtzman Ave,Columbus,OH,43205,69,-82.94550455,39.95934446
Buzybee Childcare & Learning Center*,740 Greencrest Dr,Westerville,OH,43081,98,-82.92924762,40.10610735
ABC's Educare,1184 Lockhurst Rd,Columbus,OH,43207,72,-82.96372238,39.92970529
Balanced Family Academy Clubhouse,1717 Bethel Rd,Columbus,OH,43220,102,-83.06527603,40.06387266
"Child Zone, LLC*",2415 Deewood Dr,Columbus,OH,43229,54,-82.95254215,40.09605039
The Goddard School - Canal Winchester,6405 Canal Street,Canal Winchester,OH,43110,182,-82.8302196,39.85106749
Enchanted Care Learning Center,1243 County Line Rd,Westerville,OH,43081,144,-82.88672309,40.13131478
Designed for Destiny Child Care Center*,3530 Soldano Blvd,Columbus,OH,43228,85,-83.09505954,39.95629452
Kiddie Academy*,2069 Summit View Rd,Powell,OH,43065,118,-83.07204168,40.13243459
"Family Focus Learning Center, LLC*",3425 Great Western Blvd,Columbus,OH,43204,47,-83.09152792,39.95855883
Madina Learning Center*,3296 Westerville Rd,Columbus,OH,43224,37,-82.95395458,40.03561355
Junior Graduates Enrichment Center*,4807 Evanswood Dr,Columbus,OH,43229,44,-82.99449022,40.06310163
Sunny Day Academy,4595 Morse Road,Gahanna,OH,43230,141,-82.87081077,40.05558998
Michael's Lil' Angels*,6161 Radekin Road,Columbus,OH,43232,43,-82.83135155,39.9434906
Debi's Day Care Center*,5504 East Livingston Ave,Columbus,OH,43232,122,-82.84847943,39.94321845
Harmony Kids Academy*,415 East Broad Street,Columbus,OH,43215,24,-82.98957084,39.96347635
Kinder Care Learning Center - Gahanna*,520 Morrison Road,Gahanna,OH,43230,144,-82.86349174,40.00444491
"Connected Pathways Early Learning Centers, LLC*",4242 Stelzer Rd,Columbus,OH,43230,78,-82.91028642,40.06188966
America's Childcare LLC*,77 North Wilson Road,Columbus,OH,43204,35,-83.09444423,39.95530207
Enchanted Care Learning Center,4388 Davidson Rd,Hilliard,OH,43026,144,-83.13536031,40.04981006
Faith and Dreams Academy*,2543 Franksway Street,Columbus,OH,43232,,-82.88144285,39.92268128
KIDSRUS,4625 Cemetery Rd,Hilliard,OH,43026,61,-83.13967468,40.03175345
Meadows Academy*,5775 Dublinshire Dr,Dublin,OH,43017,26,-83.14594727,40.12262797
Start 2 Finish Learning Academy*,227 Fairway Blvd.,Whitehall,OH,43213,51,-82.87281517,39.97153645
"Precious Moments Learning Center, Inc.*",921 East Dublin Granville Rd,Columbus,OH,43229,99,-82.99391461,40.08760512
Tree of Love*,981 East Hudson St,Columbus,OH,43211,36,-82.98407611,40.01436134
Childcare Wonderland*,383 East Broad St,Columbus,OH,43215,38,-82.99043004,39.96337559
Future Scholars Learning Academy II*,6116 McNaughten Center,Columbus,OH,43232,67,-82.83814218,39.95343895
Prewitt's Playhouse Early Learning Center LLC*,1860 Lockbourne Road,Columbus,OH,43207,42,-82.96498944,39.92743685
R.F. Hairston Early Learning Center*,400 North 20th Street,Columbus,OH,43203,44,-82.97314659,39.97399732
American Learning Center*,5454 Westerville Rd,Westerville,OH,43081,110,-82.9279511,40.0841259
Daystarz Child Care Center*,3323 Cleveland Avenue,Grove City,OH,43123,39,-83.09066606,39.88335194
A Colorful World Learning Center*,3350 Allegheny Ave,Columbus,OH,43209,95,-82.91417716,39.98026592
Central Ohio Child Care*,1755 Linden Place,Columbus,OH,43211,58,-82.96389527,40.02006613
"Bexley Play and Learn Early Learning Center, LLC*",211 North Merkle Rd,Bexley,OH,43209,28,-82.92417476,39.97484882
Primrose School at Pinnacle,1239 Lamplighter Dr,Grove City,OH,43123,193,-83.0368202,39.873085
Tutor Time Child Care/Learning Center*,6365 Emerald Parkway,Dublin,OH,43016,174,-83.14188382,40.08211477
"Jelly Bean Junction Learning Center, Inc.*",1123 Bethel Road,Columbus,OH,43220,100,-83.04890855,40.06335273
Cleveland Learning Academy and Child Care LLC*,2775 Cleveland Ave,Columbus,OH,43224,145,-82.96472525,40.02407396
Little Scholars Learning Center*,3943 Groves Road,Columbus,OH,43232,69,-82.89587876,39.93115133
Life Time Fitness,3900 Easton Station,Columbus,OH,43219,70,-82.91761669,40.0498176
Jump City Childcare Center LLC,6190 Shamrock Court,Dublin,OH,43016,34,-83.13904882,40.09549631
Sunny Day Academy,255 Bradenton Ave,Dublin,OH,43017,73,-83.11985366,40.08115521
